,ques,ans,ans2
0,江戸時代を代表する医学書『和蘭内景医範提綱』の著者であり、「膵」や「腺」といった漢字を造字した功績でも知られる蘭方医は誰でしょう？,宇田川玄真,うだがわげんしん
1,1964年からサンフランシスコ・ジャイアンツでプレーした、日本人初のメジャーリーガーは誰でしょう？,村上雅則,むらかみまさのり
2,1920年のアントワープオリンピックでは水泳の100m自由形で金メダルを獲得し、世界にサーフィンを広めた功績から「近代サーフィンの父」とも称されるハワイ出身の人物は誰でしょう？,デューク・カハナモク,カハナモク
3,種田山頭火や尾崎放哉の作品に代表される、五・七・五の定型に捉われない俳句のことを一般に「何俳句」というでしょう？,自由律俳句,じゆうりつ
4,1923年にドイツの首相としてインフレーション収拾のためにレンテンマルクを発行し、その後は外務大臣としてロカルノ条約の締結に尽力しドイツの国際連盟加盟を実現したことで1926年にノーベル平和賞を受賞した人物は誰でしょう？,グスタフ・シュトレーゼマン,シュトレーゼマン
5,本名をリチャード・スターキーという、ロックバンド・ビートルズでドラムを担当していた人物は誰でしょう？,リンゴ・スター,リンゴスター
6,冥王星を発見したクライド・トンボーの遺灰が載せられている、2006年にNASAに打ち上げた人類初の太陽系外縁天体探査を行う無人探査機は何でしょう？,ニュー・ホライズンズ,ニューホライズンズ
7,初代三遊亭圓遊が寄席で踊っていた踊りの名に由来する、裾が股より長く膝下丈まであるズボン下を何というでしょう？,ステテコ,ステテコ
8,その名はイタリア語で「薪の束」という意味がある、オーケストラや吹奏楽で主に低音を担当するダブルリードの木管楽器は何でしょう？,ファゴット,ファゴット
9,シェイクスピアの戯曲『ロミオとジュリエット』の舞台となった、イタリアの都市はどこでしょう？,ヴェローナ,ヴェローナ
10,法名をテンジン・ギャツォといい、1989年にはノーベル平和賞を受賞している、現在のチベット仏教の最高指導者は誰でしょう？,ダライ・ラマ14世,ダライラマ14
11,日本語では「火格子」ともいう、火種の下に敷いたり、バーベキューの焼き網に使ったりする頑丈な金属製の網を、オランダ語由来の言葉で何というでしょう？,ロストル,ロストル
12,大騒ぎになって収拾がつかない様子を、ある虫にちなんだ表現で「何をつついたよう」というでしょう？,蜂の巣,はちのす
13,Microsoftの表計算ソフト「Excel」で、選択した範囲の数値を合計する関数を何関数というでしょう？,SUM関数,SUM
14,水車を動力とする「水力紡績機」を発明し、1771年にイギリス・クロムフォードにて世界初の水力による紡績工場を造った発明家は誰でしょう？,リチャード・アークライト,アークライト
15,フランスの元外交官レセップスによって建設された、地中海と紅海を結ぶエジプトの運河を何運河というでしょう？,スエズ運河,スエズ
16,主なブランドに「イタリアンフルーツ」や「ベッキオホワイト」などがある、イタリアを代表する陶磁器メーカーは何でしょう？,リチャード＝ジノリ,リチャードジノリ
17,カーリングで、不利とされる先攻のチームがそのエンドで得点することを、「奪う」という意味の英語で何というでしょう？,スティール,スティール
18,藤井聡太に更新されるまで、30年にわたってプロ棋士の最多連勝記録28連勝を保持していた棋士は誰でしょう？,神谷広志,かみやひろし
19,論文などを書く時に、自分の主張を補強するために他の文献などを引用することを、漢字2文字で何というでしょう？,援用,えんよう
20,島根県の都市で、出雲大社があるのは出雲市ですが、熊野大社があるのは何市でしょう？,松江市,まつえ
21,円周率πや、自然対数の底eに代表される、有理数の係数を用いた代数方程式の解になり得ない無理数のことを何というでしょう？,超越数,ちょうえつすう
22,大きく天竺、震旦、本朝の3部に分かれ、それぞれの話が「今ハ昔」という書き出しで始まることからその呼び名がつけられた平安末期の説話集は『何集』でしょう？,『今昔物語集』,こんじゃくものがたり
23,寒い時や発熱時に無意識に生じる身震いなど、骨格筋を収縮させることで熱産生を高める生理現象を英語で何というでしょう？,シバリング,シバリング
24,事実でない誇張を付け加えて話すことを、魚の体の部分を使って「何をつける」というでしょう？,尾鰭をつける,おひれ
25,日本語では「侵入実験」ともいう、ネットワークに接続されているコンピュータシステムに脆弱性がないかを確かめるために、実際に既知の攻撃技術を用いて侵入を試みる手法を、「侵入」を意味する英語を使って何テストというでしょう？,ペネトレーションテスト,ペネトレーション
