,ques,ans
0,国際連合の「安保理」を略さずいうと何でしょう？,（国際連合）安全保障理事会
1,第1回アテネオリンピックでトーマス・バークが使用し注目を集めた、陸上競技で両手両足を地面につける姿勢のスタート方法を何スタートというでしょう？,クラウチングスタート
2,力の限りを出して、あとは運命にまかせることを「人事を尽くして何を待つ」というでしょう？,人事を尽くして天命を待つ
3,現在の中国人民元のすべての紙幣に肖像画が描かれている、中国共産党の創立メンバーで初代国家主席を務めた政治家を日本では一般に何と呼ぶでしょう？,毛沢東
4,出世した太公望が復縁を求めた元妻に対して行った行為から、一度してしまった失敗は取り返しがつかないことを「何盆に返らず」というでしょう？,覆水盆に返らず
5,人間の眼球の後ろ側の内壁を覆い、視覚的な情報を受信する役割を果たしている、薄い膜状の組織を何というでしょう？,網膜
6,1901年に操業を開始した日本最初の近代的製鉄所の名前にもなっている、現在は北九州市の一部となっている地区はどこでしょう？,八幡
7,ヘレフォード、ジャージー、ホルスタインなどの品種がある家畜は何でしょう？,ウシ
8,1984年にアレクセイ・パジトノフが開発したコンピュータゲームで、4つの正方形を組み合わせて作られたテトリミノをフィールドに積み、横一列に揃えて消していくゲームは何でしょう？,『テトリス』
9,英語では馬の「鞍」のことも意味する、自転車において人が座る部分のことを指す言葉は何でしょう？,サドル
10,人が逃げ去ったあとの寝床や住居のことを、セミやヘビが脱皮したあとの抜け殻にたとえて「何の殻」というでしょう？,蛻の殻
11,裕福な家に生まれ育つなどして自分で働いた経験がないことを、ある食器を使ったたとえで「何より重い物を持ったことがない」というでしょう？,箸
12,統一金融機関コードは「0000」である、日本の中央銀行といえば何銀行でしょう？,日本銀行
13,1987年放送のテレビドラマ『アナウンサーぷっつん物語』を起源とする、フジテレビ系で月曜21時から放送されるドラマ枠のことを、その放送時間から俗に何というでしょう？,月9
14,適当なことを言ってその場を取り繕うことを、ある飲み物を使って「何を濁す」というでしょう？,お茶を濁す
15,持統天皇が不老不死の薬だと信じて飲み、寿命を縮めたとされる、原子番号80、元素記号Hgで表される元素は何でしょう？,水銀
16,チェスのマス目の数からオセロのマス目の数を引くといくつでしょう？,0
17,雲形、T、三角、直線などの種類がある、直線や曲線を引くための文房具は何でしょう？,定規
18,炭酸飲料に使われる「炭酸ガス」とは、何という化合物のことでしょう？,二酸化炭素
19,人間の眼球の後ろ側の内壁を覆い、視覚的な情報を受信する役割を果たしている、薄い膜状の組織を何というでしょう？,網膜
20,テニスや卓球で、ラケットを持つ手の反対側に来たボールを打つことを英語で何というでしょう？,バックハンド
21,読売新聞の記者・川本信正が、宮本武蔵の著書名からヒントを得て考案したといわれる、「オリンピック」の訳語として用いられる漢字2文字の言葉は何でしょう？,五輪
22,「なぜめぐり逢うのかを私たちはなにも知らない」という歌い出しで始まる、Bank Bandや福山雅治もカバーしている中島みゆきの曲は何でしょう？,『糸』
23,多角形上の異なる2つの頂点同士を結ぶ線分の中で、辺を除く線分のことを何というでしょう？,対角線
24,子供の名前に縁起がいいとされる候補を全部付けてしまい、非常に長い名前となるという内容の古典落語の演目は何でしょう？,『寿限無』
25,鉄条網に使われる「有刺鉄線」のことを、ある植物にたとえて別名「何線」というでしょう？,バラ線
26,動物の標本作りや防腐処理などのために用いられる、ホルムアルデヒドを薄めた水溶液を一般に何というでしょう？,ホルマリン
27,立春・立夏・立秋・立冬の直前約18日間ずつある雑節で、特に夏の「これの丑の日」にはウナギを食べる習慣としてもおなじみなのは何でしょう？,土用
28,「超音波」「電子」「光学」などの種類がある、微小な物体を視覚的に拡大して肉眼で見えるようにする装置を日本語で何というでしょう？,顕微鏡
29,英語圏では「プレースマット」という、食卓で食器を乗せるための1人用の小さな敷物のことを、「格式ある昼食会」という意味の英単語を使った和製英語で何マットというでしょう？,ランチョンマット
30,かつて民族紛争が多かったことから「ヨーロッパの火薬庫」とも呼ばれた、地中海と黒海との間に突き出た半島は何半島でしょう？,バルカン半島
31,昔は「勝負事が引き分けになる日」という意味だったが、現在では「友人が冥土に引き寄せられるので葬式を避けるべき日」という解釈が一般的になった、六曜の1つは何でしょう？,友引
32,「あつ」や「ぬる」を付けると酒の温度を指す表現になる、酒を加熱することを意味する漢字1文字は何でしょう？,燗
33,ドイツ語では「東の国」を意味する「エスターライヒ」と呼ばれる、ドイツ語を公用語とし首都をウィーンに置くヨーロッパの国はどこでしょう？,オーストリア共和国
34,東京都小笠原村に属するサンゴ礁からなる島で、日本最南端の島になっているのはどこでしょう？,沖ノ鳥島
35,茶わん蒸しなどにも使われる「ギンナン」は何の木の種でしょう？,イチョウ
36,漢字では「猟虎」とも書く、胸に貝を乗せて叩く仕草が有名な動物は何でしょう？,ラッコ
